"SITEYR","bkt","X.Ag","RIFFQUAL","LOG_RD","TEMP_FLD","DO_FLD"
"ANTI-113-R-2003",1,26.12,16,2,17.2,8.5
"CASS-104-R-2000",1,21.36,13,2.041393,15.9,8.6
"CASS-106-R-2000",1,21.47,15,2.39794,15.8,8.4
"CASS-110-R-2000",1,43.85,8,1.90309,17.8,7.9
"DEER-106-R-2001",1,55.05,10,2.39794,18.9,8.2
"DEER-113-R-2001",1,39.57,15,2.39794,16.6,9
"GEOR-107-R-2003",1,3.77,17,2,12.7,9.9
"GEOR-114-R-2003",1,1.56,15,2.676694,17,7.7
"LIBE-129-R-2003",1,32.97,14,2.69897,16.6,8.7
"LIBE-212-R-2000",1,50,11,2.342423,16.5,8.8
"LIGU-102-R-2001",1,48.21,15,0,14.6,9.4
"LIGU-109-R-2001",1,75.32,11,2.041393,17.6,9.1
"PRET-104-R-2000",1,66.65,15,2.176091,14.4,9.1
"PRET-108-R-2000",1,68.8,12,2.30103,15.3,9.5
"PRUN-102-R-2001",1,9.75,13,2.812913,17.1,11.1
"PRUN-103-R-2001",1,3,19,3.113943,15.6,7
"PRUN-107-R-2001",1,3.05,19,3.130334,15.6,7
"PRUN-205-R-2001",1,11.66,20,2,12.8,10.2
"PRUN-210-R-2001",1,11.97,18,2.176091,13.5,12.7
"LOCH-101-R-2002",0,89.22,7,2.544068,18.1,3.2
"LOCH-102-R-2002",0,4.85,7,0.477121,17.9,7.5
"LOCH-102-S-2000",1,42.91,14,2.176091,15.3,8.8
"LOCH-107-R-2002",0,83.21,6,2.30103,22.2,4.8
"LOCH-109-R-2002",0,67.56,10,2.113943,21.2,9
"LOCH-112-R-2002",0,61.72,11,2.146128,18.1,8.3
"LOCH-114-R-2002",0,47.87,7,2.342423,20.3,7.5
"LOCH-115-R-2002",0,11.61,6,2.176091,20.8,6.6
"LOCH-121-R-2002",1,71.42,10,2.778151,21.7,7.2
"LOCH-122-R-2002",0,85.09,7,2.079181,23.7,5
"LOCH-123-R-2002",0,4.8,9,2.255273,18.2,7.7
"LOCH-209-S-2000",0,43.59,17,1.30103,16.3,9.2
"LOCH-213-R-2002",1,62.79,10,2.255273,20.2,6.9
"LOCH-216-R-2002",1,39.05,12,1.90309,19.4,8.4
"LOCH-224-R-2002",0,74.38,16,0.69897,25.2,8.5
"LOCH-305-R-2002",0,62.82,13,1.954243,21.9,8
"LOCH-404-R-2002",0,59.78,17,2.60206,24.5,7.1
"LOCH-443-R-2002",0,16.41,16,0,12.9,10.7
"PRLN-105-R-2003",0,1.08,10,2.511883,13.7,7.1
"PRLN-107-R-2003",0,1.45,8,0,15.6,8.6
"PRLN-122-R-2003",0,0,15,3.255273,16.1,8.4
"PRLN-201-R-2003",0,3.34,11,0,16.1,8.1
"PRLN-306-R-2003",0,10.86,13,3.39794,18.6,8.7
"PRLN-316-R-2003",0,10.67,12,2.90309,18.4,8.2
"PRLN-318-R-2003",0,10.79,13,2.845098,18.4,8.7
"PRLN-321-R-2003",0,3.16,16,1.845098,18,8
"SAVA-103-R-2002",1,55.43,9,2.69897,18.5,9.1
"SAVA-104-R-2002",1,4.83,18,1.653213,15,9.7
"SAVA-105-R-2002",1,1.54,14,2.477121,15.7,9.5
"SAVA-116-R-2002",0,7.68,7,3.278754,18.9,9.7
"SAVA-117-R-2002",1,6.29,8,3.255273,17,8.4
"SAVA-119-R-2002",1,6.25,6,1.740363,18.3,6.6
"SAVA-120-R-2002",1,8.36,12,3.176091,17.6,9.2
"SAVA-206-R-2002",1,43.8,10,3.176091,17.7,9.4
"SAVA-308-R-2002",1,16.05,18,2,17.4,8.4
"SAVA-312-R-2002",1,10.4,15,3.447158,15.5,10.9
"SAVA-401-R-2002",1,30.07,20,1.778151,13.5,12.8
"SAVA-410-R-2002",1,10.57,19,2.69897,15.5,10.9
"SAVA-414-R-2002",1,10.39,19,2,16.3,9
"UMON-101-R-2000",0,16.2,7,1.30103,21.5,6.8
"UMON-103-R-2000",0,86.7,8,1,20.9,6
"UMON-106-R-2000",0,93.4,7,1.845098,15,7.2
"UMON-115-R-2000",0,0,6,2.579784,18.5,9.6
"UMON-117-R-2000",0,83.7,8,1.69897,19.2,6.3
"UMON-119-R-2000",1,0.5,15,2,18.4,7.3
"UMON-131-R-2000",0,90.4,4,2.255273,21.5,6.9
"UMON-132-R-2000",0,0.7,0,2.230449,15.5,5.7
"UMON-134-R-2000",0,0.3,14,1,17.8,9.2
"UMON-207-R-2000",0,4.8,17,1.90309,20.5,8.6
"UMON-322-R-2000",0,12.3,18,2.845098,17.1,8.6
"UMON-413-R-2000",0,20.8,16,1.477121,17.3,8.2
"YOUG-101-R-2001",0,19.11,6,2.623249,14.3,7.9
"YOUG-102-R-2001",0,69.69,9,0,20.3,6.9
"YOUG-106-R-2001",1,9.9,16,2.477121,15.7,7.8
"YOUG-107-R-2001",0,22.41,13,2.20412,15.3,8.2
"YOUG-110-R-2001",0,52.01,15,0,17,8.3
"YOUG-112-R-2001",0,21.35,14,2.113943,17.9,7.2
"YOUG-117-R-2001",1,23.01,12,2.30103,14.7,9.5
"YOUG-118-R-2001",0,10.1,0,2.477121,20.7,4.8
"YOUG-123-R-2001",1,12.93,16,2.255273,15.9,8.8
"YOUG-127-R-2001",1,7.89,18,2.832509,14.5,7.5
"YOUG-208-R-2001",1,40.31,16,3.113943,16.2,8.6
"YOUG-214-R-2001",0,28.78,0,2.778151,17.3,9.8
"YOUG-219-R-2001",0,32.75,16,2.778151,20.8,6.2
"YOUG-221-R-2001",1,18.3,19,1.69897,15.4,8.8
