Month,Year,PRCP
1,1958,0.090322581
2,1958,0.1425
3,1958,0.066129032
4,1958,0.090333333
5,1958,0.057096774
6,1958,0.205333333
7,1958,0.145666667
8,1958,0.060645161
9,1958,0.199333333
10,1958,0.093225806
11,1958,0.079666667
12,1958,0.028064516
1,1959,0.08516129
2,1959,0.078571429
3,1959,0.111612903
4,1959,0.101333333
5,1959,0.082258065
6,1959,0.091333333
7,1959,0.06
8,1959,0.096451613
9,1959,0.037666667
10,1959,0.198387097
11,1959,0.089
12,1959,0.127741935
1,1960,0.040967742
2,1960,0.163103448
3,1960,0.035714286
4,1960,0.065333333
5,1960,0.172580645
6,1960,0.083
7,1960,0.066129032
8,1960,0.083548387
9,1960,0.029666667
10,1960,0.056774194
11,1960,0.011333333
12,1960,0.02516129
1,1961,0.050967742
2,1961,0.1375
3,1961,0.051935484
4,1961,0.161
5,1961,0.097419355
6,1961,0.163666667
7,1961,0.051290323
8,1961,0.098064516
9,1961,0.028
10,1961,0.078387097
11,1961,0.052666667
12,1961,0.03516129
1,1962,0.077741935
2,1962,0.068928571
3,1962,0.018709677
4,1962,0.119666667
5,1962,0.081935484
6,1962,0.082666667
7,1962,0.115483871
8,1962,0.053225806
9,1962,0.103
10,1962,0.138709677
11,1962,0.060333333
12,1962,0.044193548
1,1963,0.052903226
2,1963,0.0425
3,1963,0.078709677
4,1963,0.078666667
5,1963,0.108387097
6,1963,0.016666667
7,1963,0.059677419
8,1963,0.109032258
9,1963,0.052
10,1963,0.006129032
11,1963,0.196
12,1963,0.049677419
1,1964,0.039354839
2,1964,0.038965517
3,1964,0.119677419
4,1964,0.088333333
5,1964,0.076451613
6,1964,0.073
7,1964,0.063225806
8,1964,0.082580645
9,1964,0.011666667
10,1964,0.027096774
11,1964,0.048
12,1964,0.066129032
1,1965,0.079354839
2,1965,0.041785714
3,1965,0.079032258
4,1965,0.080333333
5,1965,0.049677419
6,1965,0.040333333
7,1965,0.040967742
8,1965,0.051290323
9,1965,0.089333333
10,1965,0.076774194
11,1965,0.088
12,1965,0.065483871
1,1966,0.030322581
2,1966,0.050714286
3,1966,0.071935484
4,1966,0.059
5,1966,0.076451613
6,1966,0.081333333
7,1966,0.140322581
8,1966,0.06
