site,year,flow
1183500,1936,922.8
1183500,1937,1040
1183500,1938,1367
1183500,1939,954.5
1183500,1940,883.7
1183500,1941,525.2
1183500,1942,766.4
1183500,1943,1127
1183500,1944,739.7
1183500,1945,1204
1183500,1946,833
1183500,1947,795.9
1183500,1948,951.5
1183500,1949,871.4
1183500,1950,683.9
1183500,1951,1018
1183500,1952,1342
1183500,1953,1174
1183500,1954,809.6
1183500,1955,1259
1183500,1956,1498
1183500,1957,573.5
1183500,1958,892.2
1183500,1959,723
1183500,1960,1172
1183500,1961,928.1
1183500,1962,602.8
1183500,1963,623.8
1183500,1964,652.3
1183500,1965,368.2
1183500,1966,480.3
1183500,1967,789.9
1183500,1968,839
1183500,1969,973.5
1183500,1970,966.8
1183500,1971,751.9
1183500,1972,1349
1183500,1973,1316
1183500,1974,1035
1183500,1975,1191
1183500,1976,1222
1183500,1977,933.7
1183500,1978,1237
1183500,1979,1144
1183500,1980,943.4
1183500,1981,557.6
1183500,1982,1015
1183500,1983,1161
1183500,1984,1401
1183500,1985,543.8
1183500,1986,927.9
1183500,1987,994.7
1183500,1988,775.6
1183500,1989,918.1
1183500,1990,1172
1183500,1991,928.1
1183500,1992,900.6
1183500,1993,1057
1183500,1994,884.1
1183500,1995,656.1
1183500,1996,1438
1183500,1997,1224
1183500,1998,1119
1183500,1999,807.3
1183500,2000,1161
1183500,2001,924.1
1183500,2002,511.1
1183500,2003,1012
1183500,2004,1128
1183500,2005,961.9
1183500,2006,1263
1183500,2007,1052
1183500,2008,1172
1183500,2009,1181
1183500,2010,1012
1183500,2011,1513
1183500,2012,1020
1183500,2013,1105
1183500,2014,888.5
1183500,2015,868.5
