runoff,PPTAVG_BASIN,DRAIN_SQKM.log,BAS_COMPACTNESS,T_AVG_BASIN,PET,ARTIFPATH_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,AWCAVE.log,PERMAVE.log,BDAVE,OMAVE.log,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN.log,SLOPE_PCT.log,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
604.1,97.42,7.719884776,0.87,3,504.7,16.4,53.6,2.3,2,12.11,1.09,71.48,4.77,-1.514127733,0.385262401,1.22,1.667706821,2.87,48.21,77.91,54.53,70.25,0.22,68.03,273.3,604,157,253,81.8,157,0.26,-1.537117251,1.931521412,130,-0.642,0.767
596,100.96,2.302585093,2.9,4.4,539.1,0,54,4,2,11.32,7.77,12.51,58.54,-1.560647748,0.357674444,1.27,1.40854497,4.38,51.45,82.16,54.83,71.09,0.26,66.52,198.6,250,175,198,12.2,176,0.314,-1.180907531,0.875468737,135.1,-0.709,0.706
760,125.29,2.778819272,2.1,5.9,543.9,4.04,54.9,6,0.2,14.15,0.34,34.81,38.73,-2.407945609,2.636196097,1.19,2.754297452,3.91,59.86,70.24,15.41,65.96,0.17,98.62,64.6,88,42,65,8.3,42,0.491,-0.693147181,0.405465108,103.7,-0.237,0.972
758.9,115.39,4.339901708,1.66,5.71,554.2,11.8,56.2,6.1,1.3,11.9,1.6,73.74,0.58,-1.897119985,1.771556762,1.33,2.032087845,3.16,51.95,74.08,37.68,67.66,0.2,88.43,97.3,196,51,91,23.9,52,0.319,-1.287354413,1.193922468,68.2,0.371,0.929
760,122.46,5.087596335,1.02,5.9,548.6,10.2,52.8,6.1,1.1,12.63,1.07,53.63,12.98,-1.832581464,2.056684555,1.15,2.978586115,2.88,56.11,75.43,35.08,69.68,0.19,97.18,90.4,384,41,82,39.5,41,0.144,-2.120263536,1.098612289,115.8,-0.435,0.901
759.9,115.58,5.578974824,1.36,5.65,549.9,10.82,49.4,3.4,2,12.44,1.53,75.48,1.56,-1.966112856,1.652497402,1.39,1.768149604,3.13,55.19,76.59,36.52,69.23,0.18,90.39,136.1,448,48,131,45.6,50,0.22,-1.570217199,1.526056303,186.4,-0.994,-0.111
760,120.07,6.351932289,1.13,5.95,553.1,7.26,50.6,3.7,1.7,12.48,1.41,68.51,4.3,-1.966112856,1.711994501,1.33,1.95160817,3.03,56.73,79.06,41.5,72.61,0.19,95.08,97.8,448,16,86,50.3,17,0.189,-1.820158944,1.30833282,148.5,-0.853,0.522
758.6,111.53,5.953503041,1.1,5.54,550.8,13.18,50.3,4.1,2.2,12.47,0.61,75.7,0.97,-1.897119985,1.393766376,1.39,1.803358605,2.83,56.95,78.22,40.47,70.47,0.18,86.66,130.2,440,49,122,38.8,52,0.208,-1.676646662,1.435084525,165.3,-0.967,0.254
771,110.15,6.366470448,1.75,2.95,485.9,13.04,47,3,2.8,12.03,0.33,71.26,0,-1.514127733,0.457424847,1.16,2.222459049,1.51,56.74,83.29,59.51,75.32,0.21,77.04,476.4,722,327,475,57.7,329,0.378,-0.980829253,1.704748092,135.4,-0.712,0.702
754.7,102.19,6.097849538,1.18,3.61,513,20.85,52.7,3,1.6,12.46,0.3,67.59,0.02,-1.46967597,0.774727168,1.24,2.032087845,2.45,50.31,80.18,55.04,73.23,0.23,71.44,246.3,512,157,238,37.9,161,0.252,-1.47840965,1.360976553,183.5,-0.998,-0.061
646.3,108.19,8.209634889,1.24,4.82,540.8,14.34,54,4.6,1.5,12.65,1.75,70.51,2.36,-1.514127733,0.841567186,1.2,2.102913898,2.54,51.77,78.43,53.03,70.81,0.22,75.71,171.8,736,65,158,53.9,72,0.159,-1.973281346,1.16315081,138.2,-0.746,0.666
738.7,119.83,5.718342626,1.61,3.6,495.8,11.32,46,3.2,2,11.58,0.87,73.12,0.14,-1.46967597,0.815364813,1.23,2.046401688,2.62,48.36,80.11,54.39,73.15,0.23,81.99,378,791,169,377,65,176,0.336,-1.096614286,1.945910149,100.3,-0.179,0.984
738.5,118,6.64509097,1.17,4.14,512.5,9.83,46,3.3,2.3,11.57,2.13,77.07,1.63,-1.560647748,0.887891257,1.28,1.916922612,2.98,47.68,80.11,52.18,73.27,0.22,83.03,299.4,791,110,304,105.7,110,0.278,-1.255266099,1.871802177,93.7,-0.064,0.998
731.2,111.93,4.249922794,1.46,5.06,543.2,7.16,48.7,4.4,2.1,12.48,4.57,68.48,4.83,-1.609437912,1.283707772,1.25,2.12704052,3.19,49.49,78.04,48.73,71.52,0.22,81.91,156.2,298,124,148,28.2,124,0.185,-1.980501594,1.223775432,342.7,0.955,-0.297
739.7,120.2,6.726233402,1.31,3.96,512.9,7.96,50,3.1,1.5,11.28,0.61,81.44,0.19,-1.771956842,1.150572028,1.33,1.640936579,3.01,49.4,79.97,45.77,73.07,0.19,90.84,338.7,1108,83,319,169.9,102,0.249,-1.46967597,2.261763098,123.3,-0.549,0.836
756.3,122.49,3.663561646,2.12,7.22,586.6,8.87,50,5.9,5,11.92,3.42,75.51,6.51,-1.832581464,0.482426149,1.45,1.605429891,2.8,49.93,83.91,47.34,75.78,0.2,100.76,101.2,254,40,95,31.7,42,0.286,-1.358679194,1.435084525,127.1,-0.603,0.798
642.7,110.17,6.214208018,2.2,2.54,465.4,18.14,45.7,4.2,2.6,10.95,0.09,61.98,0,-1.771956842,1.071583616,1.34,1.465567542,3.11,48.01,80.52,45.67,73.25,0.19,90.52,540,1098,309,514,149.4,318,0.293,-1.347073648,2.442347035,106.8,-0.288,0.958
679.2,118.6,5.49388415,1.54,3.67,497.8,8.17,45.2,4.1,2.2,11.52,1.1,74.85,0.53,-1.560647748,0.783901544,1.3,1.722766598,2.74,48.52,80.33,52.79,73.29,0.22,91.24,382.8,886,109,388,75.3,114,0.352,-1.02443289,1.85629799,196.8,-0.957,-0.29
675.1,118.86,6.812455099,1.42,3.99,503.1,5.63,46.1,3.7,2.8,11.16,2.42,81.1,1.28,-1.832581464,1.190887565,1.39,1.01523068,3.21,49.58,81.68,43.67,74.49,0.19,95.06,374.1,1283,94,334,210.7,94,0.236,-1.599487582,2.442347035,91.6,-0.027,1
677.2,135.36,4.183575696,2,3.52,490.4,7.62,44,2.9,3,10.57,1.71,89.16,0,-1.714798428,0.625938431,1.38,1.095273387,2.89,46.45,82.37,47.87,74.95,0.19,91.26,555.8,911,280,566,114.5,283,0.437,-0.791863153,2.587764035,42.6,0.736,0.677
676,114.57,3.899950424,1.14,4.5,521,9.7,45,4.1,2.7,11.69,2.62,82.89,1.97,-1.660731207,0.924258902,1.29,2.157559321,3.52,49.18,78.73,52.29,72.44,0.22,87.28,271.9,492,131,268,66.8,135,0.39,-0.967584026,1.987874348,115.1,-0.424,0.906
667.2,119.29,5.950121584,2.82,2.74,467.1,1.09,48.4,4.1,3.7,10.74,0.35,90.81,0,-1.714798428,0.875468737,1.28,0.955511445,4.02,51.83,76.18,49.67,71.18,0.24,98.29,641.1,1095,382,639,125.2,402,0.363,-1.021651248,2.734367509,160.9,-0.945,0.327
719.3,136.22,5.198497031,2.2,4.81,517.7,1.37,47.4,2,0.1,9.88,0.33,99.04,0,-1.966112856,1.033184483,1.38,0.262364264,4.14,50.52,81.46,41.88,74.12,0.21,117.4,622.9,1446,212,596,224.9,230,0.333,-1.167962367,3.104586678,40.1,0.765,0.644
717.9,125.2,5.822157927,2.13,4.46,515.9,2.11,47.1,3.7,1.6,10.83,1.65,84.37,0.86,-2.120263536,1.534714366,1.38,0.875468737,3.44,52.71,79.88,34.86,72.23,0.19,90.71,439.9,1140,192,402,186.7,193,0.262,-1.505077897,2.63905733,180.4,-1,-0.006
717.7,135.15,5.523858042,1.98,3.81,498,0.97,45.7,2.9,2.4,10.34,1.8,86.27,0.52,-1.771956842,1.064710737,1.34,1.153731588,3.32,46.33,81.33,44.64,74.08,0.19,97.81,565,1147,187,579,170.2,189,0.394,-0.896488105,2.778819272,169.5,-0.983,0.183
717,108.33,5.251749731,2.1,5.88,559.3,8.74,52,3.1,0,11.93,4.09,84.56,3.1,-2.207274913,1.403642999,1.4,0.727548607,3.38,54.66,78.69,32.81,70.53,0.19,91.59,281.8,727,137,263,91.8,146,0.245,-1.541779264,2.459588842,103.9,-0.24,0.971
745.1,188.34,3.310543013,2.84,2.84,446.4,0,47.5,2,2,8.72,2.65,86.06,0,-1.609437912,0.875468737,1.21,1.075002423,4.19,49.58,79.48,45.57,74.45,0.27,181.6,1004.6,1895,457,980,325.3,464,0.381,-1.010601411,3.549617387,91.2,-0.02,1
747,132.95,2.501435952,2.91,5.39,533.3,0,50.6,2.2,0,8.9,0.1,98.45,0,-2.207274913,1.997417706,1.3,0.512823626,5.13,50.51,72.66,31.29,65.86,0.17,118.51,455.1,958,209,428,183.3,218,0.329,-1.231001477,3.144152279,49.1,0.655,0.756
746.4,131.38,5.155601064,1.72,5.3,531.1,1.85,55.1,2.2,0,11.12,1.63,89.75,1.46,-2.120263536,1.829376333,1.31,0.392042088,4.7,50.97,74.81,33.64,67.58,0.18,112.62,409.5,1214,151,321,224.3,149,0.243,-1.832581464,2.63905733,132.8,-0.68,0.733
616.8,120.16,4.26969745,1.86,8.33,629.2,3.35,53.9,3.1,0.2,12.26,6.73,67.5,10.86,-2.040220829,2.085672091,1.27,1.091923301,3.21,55.85,84.91,42.49,80.58,0.21,113.99,68.4,152,18,69,23.7,20,0.376,-0.964955904,0.875468737,122.7,-0.541,0.841
613,112.2,3.443618098,1.27,8.2,618.8,3.57,47.9,3.4,0.9,11.98,11.52,66.49,6.12,-2.120263536,1.780024213,1.42,-0.15082289,3.93,52.23,83.91,39.27,77.52,0.22,106.49,58,114,21,54,19.5,24,0.398,-1.03563749,1.098612289,112.7,-0.386,0.923
776.3,145.06,5.694405313,2.24,4.15,491.9,1.29,46.7,1.6,0,10,0.62,97.98,0.01,-1.966112856,1.728109442,1.25,0.451075619,5.14,39.81,71.49,34.46,64.4,0.21,127.13,799.6,1572,251,795,223.1,253,0.415,-0.88673193,3.295836866,202.2,-0.926,-0.378
778,121.23,2.041220329,2.7,5.94,554.1,0,45.3,2,0,9.26,0.09,99.32,0.18,-2.302585093,1.834180185,1.34,0.993251773,4.4,53.23,75.84,30.03,68.32,0.19,92.58,493.7,991,185,480,188.9,194,0.383,-1.005121946,2.965273066,221.9,-0.745,-0.667
778,123.84,4.028916757,2.44,5.97,549.2,0,51.7,2,0,10.02,0.58,93.72,0.74,-2.207274913,1.456286733,1.35,0.683096845,4.32,49.36,77.62,35.09,69.56,0.19,99.29,427.3,787,185,426,116.8,185,0.402,-0.916290732,2.815408719,86.9,0.054,0.999
768.8,112.44,5.404927102,1.69,6.17,557.2,4.04,53.7,1.8,0,11.37,2.85,87.19,2.98,-2.207274913,1.776645831,1.35,0.996948635,4.45,53.51,77.05,31.2,69.48,0.2,92.25,359.6,857,140,341,108.1,141,0.306,-1.272965676,2.433613355,176.7,-0.998,0.057
